trial,samples,filter_executed,role,source_sbox,known_mask,known_value,actual_word,known_bits,consensus_correct
5,96,1,4,7,0x0,0x0,0x5,0,1
5,128,1,0,2,0x0,0x0,0xD,0,1
5,128,1,1,3,0x0,0x0,0x9,0,1
5,128,1,2,5,0x0,0x0,0xD,0,1
5,128,1,3,6,0x0,0x0,0xB,0,1
5,128,1,4,7,0x0,0x0,0x5,0,1
5,160,1,0,2,0x0,0x0,0xD,0,1
5,160,1,1,3,0x0,0x0,0x9,0,1
5,160,1,2,5,0x0,0x0,0xD,0,1
5,160,1,3,6,0x0,0x0,0xB,0,1
5,160,1,4,7,0x0,0x0,0x5,0,1
5,192,1,0,2,0x0,0x0,0xD,0,1
5,192,1,1,3,0x0,0x0,0x9,0,1
5,192,1,2,5,0x0,0x0,0xD,0,1
5,192,1,3,6,0x0,0x0,0xB,0,1
5,192,1,4,7,0x0,0x0,0x5,0,1
5,256,1,0,2,0xA,0x8,0xD,2,1
5,256,1,1,3,0x7,0x1,0x9,3,1
5,256,1,2,5,0x1,0x1,0xD,1,1
5,256,1,3,6,0x7,0x3,0xB,3,1
5,256,1,4,7,0xE,0x4,0x5,3,1
5,320,1,0,2,0xF,0xD,0xD,4,1
5,320,1,1,3,0xF,0x9,0x9,4,1
5,320,1,2,5,0x3,0x1,0xD,2,1
5,320,1,3,6,0xF,0xB,0xB,4,1
5,320,1,4,7,0xF,0x5,0x5,4,1
5,384,1,0,2,0xF,0xD,0xD,4,1
5,384,1,1,3,0xF,0x9,0x9,4,1
5,384,1,2,5,0x3,0x1,0xD,2,1
5,384,1,3,6,0xF,0xB,0xB,4,1
5,384,1,4,7,0xF,0x5,0x5,4,1
5,512,1,0,2,0xF,0xD,0xD,4,1
5,512,1,1,3,0xF,0x9,0x9,4,1
5,512,1,2,5,0x3,0x1,0xD,2,1
5,512,1,3,6,0xF,0xB,0xB,4,1
5,512,1,4,7,0xF,0x5,0x5,4,1
6,64,0,0,255,0x0,0x0,0xC,0,0
6,64,0,1,255,0x0,0x0,0x5,0,0
6,64,0,2,255,0x0,0x0,0x8,0,0
6,64,0,3,255,0x0,0x0,0x8,0,0
6,64,0,4,255,0x0,0x0,0x4,0,0
6,96,1,0,7,0x0,0x0,0xC,0,1
6,96,1,1,0,0x0,0x0,0x5,0,1
6,96,1,2,2,0x0,0x0,0x8,0,1
6,96,1,3,3,0x0,0x0,0x8,0,1
6,96,1,4,4,0x0,0x0,0x4,0,1
6,128,1,0,7,0x0,0x0,0xC,0,1
6,128,1,1,0,0x0,0x0,0x5,0,1
6,128,1,2,2,0x0,0x0,0x8,0,1
6,128,1,3,3,0x0,0x0,0x8,0,1
6,128,1,4,4,0x0,0x0,0x4,0,1
6,160,1,0,7,0x0,0x0,0xC,0,1
6,160,1,1,0,0x0,0x0,0x5,0,1
6,160,1,2,2,0x0,0x0,0x8,0,1
6,160,1,3,3,0x0,0x0,0x8,0,1
6,160,1,4,4,0x0,0x0,0x4,0,1
6,192,1,0,7,0x0,0x0,0xC,0,1
6,192,1,1,0,0x0,0x0,0x5,0,1
