trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
3,112,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,5198,649.750000,573,718,0.172373989996,0.164132936375,0.008241053621
3,128,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,5906,738.250000,681,825,0.173383000339,0.164132936375,0.009250063963
3,160,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,7464,933.000000,869,989,0.171489817792,0.164132936375,0.007356881417
3,192,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,9153,1144.125000,1084,1198,0.167813831531,0.164132936375,0.003680895155
3,256,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,12044,1505.500000,1405,1565,0.170043175025,0.164132936375,0.005910238650
4,16,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,0,0,760,95.000000,75,108,0.168421052632,0.164132936375,0.004288116256
4,24,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,0,0,1191,148.875000,123,161,0.161209068010,0.164132936375,0.002923868365
4,32,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,0,0,1536,192.000000,156,213,0.166666666667,0.164132936375,0.002533730291
4,40,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,0,0,1927,240.875000,211,285,0.166061235080,0.164132936375,0.001928298705
4,48,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,0,0,2293,286.625000,260,325,0.167466201483,0.164132936375,0.003333265107
4,56,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,4,4,2749,343.625000,310,375,0.162968352128,0.164132936375,0.001164584247
4,64,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,4,4,3168,396.000000,342,437,0.161616161616,0.164132936375,0.002516774759
4,72,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,4,4,3506,438.250000,396,472,0.164289788933,0.164132936375,0.000156852558
4,80,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0x00000000,0,4,4,3920,490.000000,433,523,0.163265306122,0.164132936375,0.000867630253
4,96,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,4645,580.625000,531,618,0.165339074273,0.164132936375,0.001206137898
4,112,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,5361,670.125000,593,707,0.167132997575,0.164132936375,0.003000061200
