trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
0,256,1,0xF559DB8B509345F2,0x9,1540,0.166233766234,1,0x3,0xA,0xA,1,1
0,256,2,0xF559DB8B509345F2,0x9,1503,0.170326014637,1,0x8,0x1,0x1,1,1
0,256,3,0xF559DB8B509345F2,0x9,1685,0.151928783383,1,0xE,0x7,0x7,1,1
0,256,4,0xF559DB8B509345F2,0x9,1455,0.175945017182,1,0x4,0xD,0xD,1,1
0,256,5,0xF559DB8B509345F2,0x9,1559,0.164207825529,1,0xF,0x6,0x6,1,1
0,256,6,0xF559DB8B509345F2,0x9,1505,0.170099667774,1,0x4,0xD,0xD,1,1
0,256,7,0xF559DB8B509345F2,0x9,1477,0.173324306026,1,0x2,0xB,0xB,1,1
1,16,0,0xAD18F677B9DCF542,0x2,82,0.195121951220,5,NA,0x0,0x8,0,0
1,16,1,0xAD18F677B9DCF542,0x2,58,0.275862068966,0,NA,0x0,0xC,0,0
1,16,2,0xAD18F677B9DCF542,0x2,129,0.124031007752,0,NA,0x0,0xE,0,0
1,16,3,0xAD18F677B9DCF542,0x2,89,0.179775280899,0,NA,0x0,0xA,0,0
1,16,4,0xAD18F677B9DCF542,0x2,57,0.280701754386,0,NA,0x0,0xB,0,0
1,16,5,0xAD18F677B9DCF542,0x2,98,0.163265306122,0,NA,0x0,0x2,0,0
1,16,6,0xAD18F677B9DCF542,0x2,115,0.139130434783,0,NA,0x0,0x6,0,0
1,16,7,0xAD18F677B9DCF542,0x2,75,0.213333333333,0,NA,0x0,0xB,0,0
1,24,0,0xAD18F677B9DCF542,0x2,148,0.162162162162,4,NA,0x0,0x8,0,0
1,24,1,0xAD18F677B9DCF542,0x2,124,0.193548387097,0,NA,0x0,0xC,0,0
1,24,2,0xAD18F677B9DCF542,0x2,200,0.120000000000,0,NA,0x0,0xE,0,0
1,24,3,0xAD18F677B9DCF542,0x2,126,0.190476190476,0,NA,0x0,0xA,0,0
1,24,4,0xAD18F677B9DCF542,0x2,79,0.303797468354,0,NA,0x0,0xB,0,0
