trial,samples,master_seed,trial_seed,key,secret_sbox,secret_delta,actual_sk28,actual_active_key,expected_public_missing,total_queries,empirical_rate,theoretical_rate,global_missing_count,detected_sbox,detected_missing,localization_success,filter_executed,tested_candidates,candidate_sample_evaluations,surviving_candidates,actual_candidate_present,recovered_active_bits,consensus_correct,delta_recovered,recovered_delta,delta_success,target_outcome_success,estimated_filter_cpu_seconds
6,256,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,1515,0.168976897690,0.164132936375,1,0,0x7,1,1,1048576,55309408,4,1,18,1,1,0x2,1,1,0.062714
6,320,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,1941,0.164863472437,0.164132936375,1,0,0x7,1,1,1048576,55309664,4,1,18,1,1,0x2,1,1,0.062714
6,384,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,2319,0.165588615783,0.164132936375,1,0,0x7,1,1,1048576,55309920,4,1,18,1,1,0x2,1,1,0.062714
6,512,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,2960,0.172972972973,0.164132936375,1,0,0x7,1,1,1048576,55310432,4,1,18,1,1,0x2,1,1,0.062715
7,64,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,380,0.168421052632,0.164132936375,3,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
7,96,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,584,0.164383561644,0.164132936375,1,3,0x9,1,1,1048576,55409244,31152,1,0,1,0,NA,0,0,0.063418
7,128,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,825,0.155151515152,0.164132936375,1,3,0x9,1,1,1048576,55827728,4380,1,0,1,0,NA,0,0,0.063897
7,160,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,999,0.160160160160,0.164132936375,1,3,0x9,1,1,1048576,55885376,620,1,0,1,0,NA,0,0,0.063963
7,192,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,1196,0.160535117057,0.164132936375,1,3,0x9,1,1,1048576,55893372,56,1,0,1,0,NA,0,0,0.063972
7,256,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,1576,0.162436548223,0.164132936375,1,3,0x9,1,1,1048576,55894564,4,1,18,1,1,0xF,1,1,0.063974
7,320,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,2051,0.156021452950,0.164132936375,1,3,0x9,1,1,1048576,55894820,4,1,18,1,1,0xF,1,1,0.063974
7,384,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,2421,0.158612143742,0.164132936375,1,3,0x9,1,1,1048576,55895076,4,1,18,1,1,0xF,1,1,0.063974
7,512,0x5343454E45525932,0x26361A9067594AC4,01E441B83367789D2299,3,0xF,0xE6C8FE06,0x7756D,0x9,3216,0.159203980100,0.164132936375,1,3,0x9,1,1,1048576,55895588,4,1,18,1,1,0xF,1,1,0.063975
8,64,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,337,0.189910979228,0.164132936375,5,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
8,96,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,637,0.150706436421,0.164132936375,1,6,0x5,1,1,1048576,55766644,34060,1,0,1,0,NA,0,0,0.067070
8,128,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,830,0.154216867470,0.164132936375,1,6,0x5,1,1,1048576,56255700,4424,1,0,1,0,NA,0,0,0.067659
8,160,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,964,0.165975103734,0.164132936375,1,6,0x5,1,1,1048576,56318280,536,1,0,1,0,NA,0,0,0.067734
8,192,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,1171,0.163962425278,0.164132936375,1,6,0x5,1,1,1048576,56325468,52,1,0,1,0,NA,0,0,0.067742
8,256,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,1522,0.168199737188,0.164132936375,1,6,0x5,1,1,1048576,56326592,4,1,18,1,1,0x4,1,1,0.067744
8,320,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,1938,0.165118679051,0.164132936375,1,6,0x5,1,1,1048576,56326848,4,1,18,1,1,0x4,1,1,0.067744
