ineffective_index,ciphertext
287,4E52AF80728FB25A
288,318FBB9E6AA9060D
289,58CE17B9C84C7F18
290,D6F088A95C21CEC3
291,63452C56CC789196
292,40362E0E06B211B5
293,1837D780374F6B6D
294,F9D0017FF1D12F8D
295,1F62A36D2E7DF60B
296,3B39DD02F535838A
297,A66E0126A32B0312
298,B30E004B19ED0A64
299,91540296B8044E83
300,DF9444314189FD30
301,787A3F6AEE063A2A
302,28CF5B9683C51EFE
303,F05195F2043F9FEE
304,47E272B1A3C4862D
305,555017E70006A7AB
306,3E4C794DAF6824EE
307,884231997CAAAEFF
308,C5F2BB2466735726
309,BC94426C9879E211
310,6C804A00ABA2CE13
311,689A4581AB1BB16D
312,2EB7C8A6FDA66F63
313,92BC8BE5320E730A
314,4824880A6CDDD2A3
315,5B4017F318CDDBBB
316,EB42F8B1FE4C2F07
317,88F513DB16369792
318,DC4FEB0887929E0A
319,83CE86B19193EDCC
320,5F7D7DB48D3A78C7
321,E07C195216E0E5FD
322,CF3BCF942E3C62DE
323,43328F851B429905
324,C960AF4F616A982B
325,102ED249AE5084E7
326,692BBAD347B808E8
327,ED29C17AF97ED110
328,72EB2B2688F70F86
329,64CC2B7A758DE506
330,6195C3A2687AEED2
331,67AA8F9C5FD6AD3B
332,7ED625A95738A754
333,239DAD512CFE4F7E
334,21A7B81943DE3C93
335,9D182C5473A99E6C
336,0E6CF00C3C91DF81
337,344136D6E41EE201
338,1D5A3116B7FE14B2
339,C1D72559C3FBDA83
340,D796846803293A96
341,13EDEC0A7C7D7FE5
342,4C55189951585678
343,3DA491D8293396BB
344,E2D754D958742EF1
345,B05B437A795F7AA0
346,36A54FEDD27A2D55
347,372D1B680EA8C271
348,ADC70F372B21FD88
349,B88A0A198A01F513
350,675ED6A7F9C719A6
351,A4BC57DA3E44CDF0
352,56AD41189B0ACA0C
353,E5E400A7DD8AF499
354,7EB2746E6DBE69FF
355,20B2630FABB4640B
356,62964EF95E477B57
357,C590E0D7D4586FB7
358,0191E193CE116ECD
359,980ED2351CED867F
360,0CFCC9741C49CEBB
361,FA19862D10ECB8B7
362,6717C645AC892503
363,DC6180F872A4F11B
364,B56AAB280EA61982
365,BA45AA4BA24868CB
366,C20B0FBA6BDC72E7
367,DCBD2380435129D4
368,22D67740AB501395
369,95D7906CD904DD95
370,E683EE9BC066AD3C
371,685509730F26FC2B
372,AC11A425A567A2DF
373,5991AB89CDA9F9D6
374,783D71775CC991B4
375,94DADE835DF70C70
376,B6812CD47A327D1F
377,9BDDA01B4EEEA22A
378,238D4DAC7E6B261C
379,E848AA5506C0C6F4
380,4CEC8D172E13D67A
381,6545349D5E74A6FC
382,C9CC5F8C9C4B96E0
383,76AC321DDF6B852A
384,3C69B317FFAD79F9
385,A4F484BB28870C03
386,33EE014A487D1808
387,58EA59FF438CD4AA
388,CE815A4E65488CE4
389,07BB2A5E7ED67E6F
390,5C44321F8A829FC3
391,5AA884D0DD884902
392,B3183CB1E5A0D409
393,85D0CC1FC8F2E4FD
394,B81B0424C77F139F
395,07CC88D6048EDB77
396,E58ADFC62358ECD8
397,4DA485D2CB124D29
398,41A962E1728319EC
399,3F5A88DC90719DEE
400,B7BA45EF1746F2E2
401,3D51B95EC7BCE04D
402,A5D794BB41FA29FA
403,9CD49CB3D5B588E0
404,32FFDADA0AF89CEA
405,0348DD67AF636765
406,EC21098B64D554A8
407,B7A1540863C34865
408,06BE41532A706587
409,3581DEE07C14DE67
410,15607DC52C6E9E35
411,DB0B7A04A371FD97
412,C46BFAEB4731A4FA
413,FFE7FA43C1C0263A
414,807C458595F03ACE
415,C72DC7AD5CDEAE57
416,750D54C0D93C911C
417,21379257AA9766AD
418,E384EFD3AB40B5A9
419,608785DF5D9A1D36
420,6532797BF5AC034F
421,A6E5A71512FD8BA6
422,2A33AC19FCC00EFD
423,F8AF91C4BD03136C
424,306D9B6DF4751811
425,431CFDC755ED98E0
426,4030279067CE6D81
427,F9D5F7335BC2BAE1
428,87322D876942D3DE
429,2E0D697D1E197DA6
430,5FB227F3C76D7746
431,D2A13DFC0AEC0FD1
432,11F2F7FB7098CFA6
433,FFFD6FB226E917C6
434,105D9513DFA37CB9
435,83A4F193A0C61517
436,F59B6313759C8708
437,ACE6337436582EEB
438,5B8D67DCECEBAA41
439,E8FD5305E995F63C
440,BB62003ED1318743
441,CD481BC523D92F4F
442,E4C09A8F6CC9F803
443,9DF419E08D3A7CA5
444,D511EFC249F849D3
445,584A8AED9159C6B1
446,7A7F9993F6FA524F
447,6C6370CC5F82AFB3
448,2F47226C4845A6B3
449,1F1D8845C9154641
450,F7C42284D4E08518
451,16F38463544F5C5A
452,A2FC2471C313F8E5
453,B0A7BFE603C1FE08
454,718E634A56DA5F20
455,5B95F1CC55C8F1CB
456,EB55FCC31E7DB5EB
457,5BFF074FA44CAE7B
458,E1C380B87CCAF86B
459,9696DFB5998B63D3
460,9C29580CD02CE6A4
461,F5B0EE156AADFFB9
462,CC122C99F65DC4A7
463,B013CB5E096E1F7D
464,5EA3B55788966E01
465,920986C16293659D
466,99D09A20BF3FFEF7
467,065F4FA2FB985A7C
468,9A6FC19A454F3F2F
469,9BB37FF60A610F16
470,8273A18CEE629347
471,0103A0D8DB64F78F
472,B99AEE7566B5D288
473,DE792E36C4014D25
474,4D7ABAC5535A2E8A
475,CB3D28C65111EE0D
476,FAB683935685545F
477,BECCB21CE39CF09C
478,4C8D082F2017E7AD
479,BF777FA7AD472350
480,3E2786AB1919968D
481,DF61E8CBA4653162
482,89DB0CB0E31628F2
483,404AC385983F36F6
484,873C32CD30423D04
485,133C3F422E0199B3
486,09D34D1FE1F93265
487,01E3EDD2FD20C091
488,77AEAC49EF503529
489,3EA7B6750CECE0AD
490,2F465FDD923057A8
491,332161582F2DFFE9
492,2F4B9D7721E18289
493,0D0CDF80DBC5DC20
494,F710FBE2C60637F9
495,E0387E4D2CE37E51
496,68FE7B5BF5E6AE81
497,364487D95804B9B7
498,40B4186185E24D09
499,35389BD45BC4416C
500,E05FC76B9DA00313
501,CFB252AA209D28CE
502,0D474CCFEE7170CB
503,C73791ED17FBD875
504,D80BFBD8FD503EC6
505,5DEBA29F7E7BFE2B
506,5AB717EEF2B4FDCA
507,E7BE6B8D3CF8034B
508,7E87D1534286BFB8
509,265AC3AEDFF49BD0
510,6D14802E91E93CD4
511,DBB4999C9E1FC899
512,E872F355582CB270
