trial,samples_per_sbox,sbox,trial_seed,known_delta,minimum_value,minimum_count,second_minimum_count,minimum_gap,minimum_multiplicity,recovered_word,actual_word,unique_minimum,word_success,internal_ineffective,internal_infected,empirical_ineffective_rate
0,24576,2,0x525E2D2B2EDFABED,0x9,0xF,1263,1427,164,1,0x6,0x6,1,1,4007,20569,0.163045247396
0,24576,3,0x525E2D2B2EDFABED,0x9,0x8,1315,1478,163,1,0x1,0x1,1,1,3901,20675,0.158732096354
0,24576,4,0x525E2D2B2EDFABED,0x9,0x3,1330,1497,167,1,0xA,0xA,1,1,4019,20557,0.163533528646
0,24576,5,0x525E2D2B2EDFABED,0x9,0xB,1305,1446,141,1,0x2,0x2,1,1,4007,20569,0.163045247396
0,24576,6,0x525E2D2B2EDFABED,0x9,0x3,1261,1471,210,1,0xA,0xA,1,1,4015,20561,0.163370768229
0,24576,7,0x525E2D2B2EDFABED,0x9,0x5,1217,1445,228,1,0xC,0xC,1,1,4045,20531,0.164591471354
0,32768,0,0x525E2D2B2EDFABED,0x9,0xB,1633,1980,347,1,0x2,0x2,1,1,5415,27353,0.165252685547
0,32768,1,0x525E2D2B2EDFABED,0x9,0x1,1649,1950,301,1,0x8,0x8,1,1,5433,27335,0.165802001953
0,32768,2,0x525E2D2B2EDFABED,0x9,0xF,1687,1952,265,1,0x6,0x6,1,1,5332,27436,0.162719726562
0,32768,3,0x525E2D2B2EDFABED,0x9,0x8,1731,2005,274,1,0x1,0x1,1,1,5292,27476,0.161499023438
0,32768,4,0x525E2D2B2EDFABED,0x9,0x3,1751,1999,248,1,0xA,0xA,1,1,5385,27383,0.164337158203
0,32768,5,0x525E2D2B2EDFABED,0x9,0xB,1708,1982,274,1,0x2,0x2,1,1,5335,27433,0.162811279297
0,32768,6,0x525E2D2B2EDFABED,0x9,0x3,1701,2002,301,1,0xA,0xA,1,1,5393,27375,0.164581298828
0,32768,7,0x525E2D2B2EDFABED,0x9,0x5,1631,1962,331,1,0xC,0xC,1,1,5366,27402,0.163757324219
1,512,0,0x588258597E0BAF4E,0xC,0x7,18,21,3,1,0xB,0x8,1,0,79,433,0.154296875000
1,512,1,0x588258597E0BAF4E,0xC,0x3,22,23,1,1,0xF,0x8,1,0,91,421,0.177734375000
1,512,2,0x588258597E0BAF4E,0xC,0xA,20,22,2,1,0x6,0x9,1,0,98,414,0.191406250000
1,512,3,0x588258597E0BAF4E,0xC,0xA,22,23,1,1,0x6,0xA,1,0,67,445,0.130859375000
1,512,4,0x588258597E0BAF4E,0xC,0x8,22,26,4,1,0x4,0x4,1,1,94,418,0.183593750000
1,512,5,0x588258597E0BAF4E,0xC,0x0,20,25,5,1,0xC,0xC,1,1,88,424,0.171875000000
1,512,6,0x588258597E0BAF4E,0xC,0x5,21,23,2,1,0x9,0x5,1,0,97,415,0.189453125000
1,512,7,0x588258597E0BAF4E,0xC,0x7,19,27,8,1,0xB,0xB,1,1,77,435,0.150390625000
1,1024,0,0x588258597E0BAF4E,0xC,0x7,45,49,4,1,0xB,0x8,1,0,170,854,0.166015625000
1,1024,1,0x588258597E0BAF4E,0xC,0x4,48,54,6,1,0x8,0x8,1,1,178,846,0.173828125000
1,1024,2,0x588258597E0BAF4E,0xC,0xA,51,52,1,2,0x0,0x9,0,0,188,836,0.183593750000
1,1024,3,0x588258597E0BAF4E,0xC,0x6,53,55,2,1,0xA,0xA,1,1,149,875,0.145507812500
1,1024,4,0x588258597E0BAF4E,0xC,0x8,55,58,3,2,0x0,0x4,0,0,178,846,0.173828125000
1,1024,5,0x588258597E0BAF4E,0xC,0x0,49,52,3,1,0xC,0xC,1,1,169,855,0.165039062500
1,1024,6,0x588258597E0BAF4E,0xC,0xE,50,51,1,1,0x2,0x5,1,0,192,832,0.187500000000
1,1024,7,0x588258597E0BAF4E,0xC,0x7,48,54,6,1,0xB,0xB,1,1,170,854,0.166015625000
1,1536,0,0x588258597E0BAF4E,0xC,0x3,75,79,4,2,0x0,0x8,0,0,257,1279,0.167317708333
1,1536,1,0x588258597E0BAF4E,0xC,0x4,80,87,7,1,0x8,0x8,1,1,246,1290,0.160156250000
1,1536,2,0x588258597E0BAF4E,0xC,0x9,82,83,1,1,0x5,0x9,1,0,274,1262,0.178385416667
1,1536,3,0x588258597E0BAF4E,0xC,0x6,85,87,2,1,0xA,0xA,1,1,228,1308,0.148437500000
1,1536,4,0x588258597E0BAF4E,0xC,0xA,84,88,4,1,0x6,0x4,1,0,265,1271,0.172526041667
1,1536,5,0x588258597E0BAF4E,0xC,0x0,74,84,10,1,0xC,0xC,1,1,239,1297,0.155598958333
1,1536,6,0x588258597E0BAF4E,0xC,0x0,81,82,1,1,0xC,0x5,1,0,259,1277,0.168619791667
1,1536,7,0x588258597E0BAF4E,0xC,0x7,79,80,1,1,0xB,0xB,1,1,257,1279,0.167317708333
1,2048,0,0x588258597E0BAF4E,0xC,0x7,106,109,3,1,0xB,0x8,1,0,332,1716,0.162109375000
1,2048,1,0x588258597E0BAF4E,0xC,0x4,118,120,2,1,0x8,0x8,1,1,324,1724,0.158203125000
1,2048,2,0x588258597E0BAF4E,0xC,0xE,107,108,1,1,0x2,0x9,1,0,377,1671,0.184082031250
1,2048,3,0x588258597E0BAF4E,0xC,0x6,110,121,11,1,0xA,0xA,1,1,298,1750,0.145507812500
1,2048,4,0x588258597E0BAF4E,0xC,0x8,116,118,2,1,0x4,0x4,1,1,354,1694,0.172851562500
1,2048,5,0x588258597E0BAF4E,0xC,0x0,108,116,8,1,0xC,0xC,1,1,319,1729,0.155761718750
1,2048,6,0x588258597E0BAF4E,0xC,0xE,111,114,3,1,0x2,0x5,1,0,348,1700,0.169921875000
1,2048,7,0x588258597E0BAF4E,0xC,0x7,96,114,18,1,0xB,0xB,1,1,326,1722,0.159179687500
1,3072,0,0x588258597E0BAF4E,0xC,0xC,165,173,8,1,0x0,0x8,1,0,491,2581,0.159830729167
1,3072,1,0x588258597E0BAF4E,0xC,0x4,172,179,7,1,0x8,0x8,1,1,486,2586,0.158203125000
1,3072,2,0x588258597E0BAF4E,0xC,0x5,162,170,8,1,0x9,0x9,1,1,545,2527,0.177408854167
1,3072,3,0x588258597E0BAF4E,0xC,0x6,156,174,18,1,0xA,0xA,1,1,462,2610,0.150390625000
1,3072,4,0x588258597E0BAF4E,0xC,0x8,176,185,9,1,0x4,0x4,1,1,528,2544,0.171875000000
1,3072,5,0x588258597E0BAF4E,0xC,0x0,158,169,11,1,0xC,0xC,1,1,498,2574,0.162109375000
1,3072,6,0x588258597E0BAF4E,0xC,0x9,169,174,5,1,0x5,0x5,1,1,516,2556,0.167968750000
1,3072,7,0x588258597E0BAF4E,0xC,0x7,156,179,23,1,0xB,0xB,1,1,492,2580,0.160156250000
1,4096,0,0x588258597E0BAF4E,0xC,0xA,228,237,9,2,0x0,0x8,0,0,663,3433,0.161865234375
1,4096,1,0x588258597E0BAF4E,0xC,0x4,225,239,14,1,0x8,0x8,1,1,665,3431,0.162353515625
