trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
42,1536,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x79ADA5B2,0,3,8,12288,2046,10242,0.166503906250,0.164132936375,0.002370969875,8.000000,2,26
42,2048,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x79AFA4B2,0,4,8,16384,2763,13621,0.168640136719,0.164132936375,0.004507200343,10.000000,1,28
42,3072,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BFE4B2,0,7,8,24576,4098,20478,0.166748046875,0.164132936375,0.002615110500,15.250000,3,40
42,4096,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,32768,5508,27260,0.168090820312,0.164132936375,0.003957883937,19.875000,4,50
42,6144,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,49152,8136,41016,0.165527343750,0.164132936375,0.001394407375,39.000000,29,54
42,8192,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,65536,10890,54646,0.166168212891,0.164132936375,0.002035276515,58.750000,32,73
42,12288,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,98304,16159,82145,0.164377848307,0.164132936375,0.000244911932,92.750000,48,126
42,16384,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,131072,21478,109594,0.163864135742,0.164132936375,0.000268800633,133.250000,97,168
42,24576,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,196608,32071,164537,0.163121541341,0.164132936375,0.001011395034,189.625000,155,228
42,32768,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x09BDE4B0,1,8,8,262144,42835,219309,0.163402557373,0.164132936375,0.000730379002,272.750000,199,319
43,512,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x00000000,0,2,6,4096,687,3409,0.167724609375,0.164132936375,0.003591673000,3.333333,2,6
43,1024,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x00000000,0,3,6,8192,1369,6823,0.167114257812,0.164132936375,0.002981321437,4.166667,1,14
43,1536,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x6C8815A7,0,4,8,12288,2053,10235,0.167073567708,0.164132936375,0.002940631333,5.875000,1,14
43,2048,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x6D8815A7,0,4,8,16384,2738,13646,0.167114257812,0.164132936375,0.002981321437,9.375000,1,20
43,3072,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x74880DAE,0,5,8,24576,4096,20480,0.166666666667,0.164132936375,0.002533730291,12.000000,2,29
43,4096,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x00000000,0,6,7,32768,5464,27304,0.166748046875,0.164132936375,0.002615110500,21.714286,10,41
43,6144,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3DC84DA7,0,7,8,49152,8134,41018,0.165486653646,0.164132936375,0.001353717270,37.375000,1,78
43,8192,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3CC84CA6,0,7,8,65536,10829,54707,0.165237426758,0.164132936375,0.001104490382,57.125000,8,92
43,12288,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3CC84CA6,0,7,8,98304,16271,82033,0.165517171224,0.164132936375,0.001384234849,78.250000,1,116
43,16384,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3DC94DA6,1,8,8,131072,21598,109474,0.164779663086,0.164132936375,0.000646726711,111.250000,24,155
43,24576,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3DC94DA6,1,8,8,196608,32314,164294,0.164357503255,0.164132936375,0.000224566880,187.000000,111,237
43,32768,0x5343454E45565937,0x912C6C9230F527CD,427C8554D19CF8273B5B,0x5,0x3DC94DA6,0x3DC94DA6,1,8,8,262144,42875,219269,0.163555145264,0.164132936375,0.000577791112,280.625000,187,341
44,512,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x00000000,0,4,7,4096,676,3420,0.165039062500,0.164132936375,0.000906126125,2.571429,1,4
44,1024,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x66248012,0,5,8,8192,1366,6826,0.166748046875,0.164132936375,0.002615110500,4.750000,2,9
44,1536,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x00000000,0,7,7,12288,2026,10262,0.164876302083,0.164132936375,0.000743365708,9.000000,1,17
44,2048,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x00000000,0,6,7,16384,2692,13692,0.164306640625,0.164132936375,0.000173704250,9.285714,1,25
